employee_id,age,education_level,department,job_role,years_experience,training_hours,avg_monthly_hours,satisfaction_level,last_performance_score,absenteeism_days,promotion_last_5yrs,performance_label
E10241,44,Bachelors,Sales,Technician,22,37,177,0.688,5,2,0,Medium
E10242,25,Bachelors,Production,Engineer,6,42,169,0.554,3,5,0,Low
E10243,46,High School,HR,Operator,27,36,116,0.662,2,3,0,Medium
E10244,45,Bachelors,Finance,Engineer,27,38,174,1.0,1,1,0,Medium
E10245,25,Bachelors,HR,Technician,7,40,158,0.681,2,2,0,Medium
E10246,50,Bachelors,Finance,Analyst,31,46,153,1.0,3,0,0,High
E10247,37,Bachelors,R&D,Analyst,17,37,158,0.631,1,4,0,Low
E10248,51,Masters,Sales,Analyst,32,45,128,0.969,3,5,0,Medium
E10249,23,Masters,HR,Technician,2,43,164,0.407,3,0,0,Low
E10250,28,High School,Finance,Engineer,7,38,133,0.648,2,3,0,Medium
E10251,40,High School,HR,Manager,23,36,154,0.604,5,6,0,Medium
E10252,29,High School,HR,Manager,9,44,163,0.977,5,3,0,High
E10253,34,Bachelors,IT,Engineer,14,36,181,0.733,4,2,0,Medium
E10254,47,High School,HR,Operator,33,31,144,0.324,3,2,0,Low
E10255,27,Masters,Sales,Analyst,8,38,189,0.464,3,4,0,Low
E10256,47,Masters,IT,Engineer,28,40,179,0.518,1,1,0,Low
E10257,25,Masters,Finance,Operator,3,49,151,0.868,2,1,0,Medium
E10258,28,Bachelors,Finance,Engineer,7,31,138,0.845,1,2,0,Low
E10259,44,PhD,Production,Technician,20,40,131,0.646,2,3,0,Medium
E10260,52,High School,Sales,Engineer,33,41,165,0.601,3,1,0,Medium
E10261,28,Bachelors,R&D,Operator,9,37,145,0.829,4,5,0,Medium
E10262,33,Bachelors,HR,Operator,10,44,184,0.497,2,2,0,Low
E10263,57,Masters,Production,Engineer,40,28,146,0.782,2,2,1,Medium
E10264,59,Bachelors,IT,Manager,38,36,142,0.767,4,3,0,Medium
E10265,44,Masters,Sales,Analyst,28,47,165,0.651,1,0,1,Medium
E10266,38,High School,Finance,Manager,19,40,146,0.772,1,3,0,Low
E10267,35,PhD,Sales,Engineer,15,34,160,0.718,4,1,0,Medium
E10268,45,Bachelors,HR,Manager,26,46,180,0.79,3,2,0,Medium
E10269,44,Bachelors,Finance,Engineer,21,32,162,0.46,5,4,0,Medium
E10270,33,PhD,IT,Analyst,13,32,162,0.811,4,2,0,Medium
E10271,22,Bachelors,Finance,Manager,2,45,164,0.885,5,1,0,High
E10272,27,Bachelors,IT,Manager,7,42,126,0.758,4,1,1,High
E10273,58,Bachelors,Production,Engineer,40,52,168,0.808,5,3,0,High
E10274,37,High School,IT,Manager,21,39,163,0.68,1,1,0,Low
E10275,40,Bachelors,Sales,Technician,22,39,178,0.86,3,2,0,Medium
E10276,39,High School,Sales,Operator,20,40,172,0.712,5,1,0,Medium
E10277,51,High School,Finance,Operator,32,38,156,0.493,4,1,0,Medium
E10278,24,Masters,Sales,Executive,4,38,181,0.848,3,3,0,Medium
E10279,25,Bachelors,R&D,Operator,4,35,154,0.406,5,0,0,Medium
E10280,32,Bachelors,Sales,Engineer,13,36,165,0.751,2,4,0,Low
E10281,40,Bachelors,HR,Analyst,18,31,154,0.631,1,2,0,Low
E10282,47,Bachelors,IT,Manager,32,33,169,0.619,4,3,0,Medium
E10283,40,Bachelors,HR,Engineer,19,41,152,0.731,3,4,0,Medium
E10284,38,Masters,R&D,Operator,20,39,193,0.572,1,2,0,Low
E10285,57,Masters,Production,Manager,37,33,200,0.792,2,2,0,Medium
E10286,28,Bachelors,Sales,Manager,7,38,177,0.71,1,4,0,Low
E10287,43,Bachelors,Sales,Analyst,22,39,191,0.589,5,2,0,Medium
E10288,42,Bachelors,HR,Engineer,24,39,129,0.941,5,1,0,High
E10289,39,Bachelors,Finance,Analyst,22,36,132,0.737,5,1,0,Medium
E10290,52,Bachelors,R&D,Analyst,35,41,154,0.814,1,2,1,Medium
E10291,32,Bachelors,IT,Executive,12,45,161,0.955,5,3,0,High
E10292,58,Bachelors,Sales,Manager,40,34,156,0.952,3,3,0,Medium
E10293,34,Bachelors,Finance,Manager,13,27,127,0.804,2,2,0,Medium
E10294,42,Bachelors,Sales,Manager,22,48,183,0.646,4,0,0,Medium
E10295,41,Bachelors,Finance,Operator,21,31,203,0.443,5,3,0,Medium
E10296,54,High School,Sales,Operator,35,42,186,0.737,3,2,0,Medium
E10297,38,High School,Production,Analyst,18,43,182,0.897,1,2,0,Medium
E10298,32,Masters,HR,Manager,13,37,165,0.764,5,3,0,Medium
E10299,22,Bachelors,HR,Analyst,6,47,143,0.08,1,3,0,Low
E10300,35,Bachelors,R&D,Technician,20,45,161,0.857,1,1,0,Low
E10301,53,Bachelors,Sales,Executive,35,30,202,0.868,4,4,0,Medium
E10302,22,Masters,Sales,Analyst,4,40,153,0.646,4,0,0,Medium
E10303,56,Bachelors,IT,Engineer,40,46,151,0.878,4,0,0,Medium
E10304,42,Masters,HR,Executive,18,41,182,0.813,5,0,0,Medium
E10305,27,Masters,R&D,Analyst,7,36,183,0.577,5,2,0,Medium
E10306,33,Bachelors,Finance,Analyst,15,48,143,0.929,1,2,0,Low
E10307,43,Bachelors,Sales,Analyst,25,39,155,0.472,2,0,0,Low
E10308,33,High School,R&D,Operator,19,31,150,0.69,4,3,0,Medium
E10309,26,Masters,HR,Engineer,10,37,161,0.672,2,2,0,Low
E10310,47,Bachelors,R&D,Manager,28,37,182,0.551,4,2,0,Medium
E10311,47,Masters,HR,Manager,29,35,144,0.755,3,3,1,Medium
E10312,26,Bachelors,Sales,Analyst,8,42,182,0.936,3,3,0,Medium
E10313,32,High School,Sales,Technician,14,44,162,0.925,1,3,0,Medium
E10314,31,High School,Production,Manager,12,26,207,0.83,4,6,0,Medium
E10315,47,Bachelors,Sales,Manager,25,30,166,0.395,5,3,0,Medium
E10316,49,Bachelors,Finance,Operator,30,43,158,0.46,5,2,0,Medium
E10317,49,High School,Production,Analyst,28,34,171,0.73,2,3,0,Low
E10318,57,Masters,R&D,Executive,40,34,153,0.694,4,4,0,Medium
E10319,51,Masters,HR,Executive,35,45,124,0.61,1,2,0,Low
E10320,34,Bachelors,Finance,Engineer,10,40,155,1.0,4,0,0,High
E10321,26,Bachelors,Production,Engineer,5,38,155,0.719,3,2,0,Medium
E10322,45,High School,Sales,Engineer,24,44,128,0.798,5,0,0,High
E10323,56,Masters,Production,Executive,34,41,159,0.878,4,3,0,Medium
E10324,59,Bachelors,Production,Engineer,40,44,119,0.71,1,0,0,Medium
E10325,30,Masters,Sales,Technician,13,33,153,1.0,5,0,1,High
E10326,30,Bachelors,Sales,Executive,6,42,165,0.531,4,2,0,Medium
E10327,23,Bachelors,Finance,Analyst,5,35,162,0.591,2,2,0,Low
E10328,27,Bachelors,Sales,Manager,6,38,152,0.53,2,3,0,Low
E10329,43,High School,IT,Engineer,25,34,158,0.981,1,2,0,Medium
E10330,42,Masters,Sales,Manager,26,37,144,0.844,2,6,1,Medium
E10331,36,Bachelors,Finance,Executive,16,34,160,0.602,5,5,0,Medium
E10332,33,Bachelors,HR,Operator,15,46,161,0.545,5,0,0,Medium
E10333,53,PhD,Sales,Manager,36,53,142,0.949,3,2,0,High
E10334,39,PhD,Sales,Technician,22,32,165,0.765,2,6,0,Low
E10335,52,Masters,HR,Analyst,31,44,165,0.954,2,5,0,Medium
E10336,58,High School,IT,Analyst,40,41,157,0.689,5,0,0,Medium
E10337,34,Bachelors,Sales,Engineer,17,41,208,0.792,1,3,0,Low
E10338,29,Masters,Finance,Engineer,5,43,157,0.754,4,2,0,Medium
E10339,58,Bachelors,IT,Analyst,40,36,154,0.588,5,1,0,High
E10340,46,High School,HR,Technician,27,46,152,0.674,5,3,0,High
E10341,33,Masters,Production,Technician,14,46,141,0.487,4,1,0,Medium
E10342,45,Bachelors,IT,Executive,23,30,174,0.789,5,5,0,Medium
E10343,41,Bachelors,Finance,Operator,21,42,146,0.837,2,0,0,Medium
E10344,56,PhD,HR,Executive,36,35,149,0.878,5,0,0,High
E10345,31,Bachelors,Finance,Technician,9,45,149,0.82,1,3,0,Low
E10346,59,Bachelors,IT,Executive,38,48,140,0.677,1,0,0,Low
E10347,57,Bachelors,Production,Executive,40,28,125,0.979,1,4,0,Low
E10348,28,Bachelors,R&D,Operator,8,31,151,0.861,4,3,0,Medium
E10349,28,High School,Finance,Operator,11,40,177,0.95,2,3,0,Medium
E10350,42,Masters,R&D,Manager,19,34,164,0.961,4,2,0,Medium
E10351,23,Masters,Sales,Engineer,9,41,191,0.677,1,3,0,Low
E10352,33,Bachelors,Sales,Analyst,16,41,175,0.77,4,0,0,Medium
E10353,38,Bachelors,Production,Engineer,22,35,170,0.839,2,4,0,Medium
E10354,58,Masters,Finance,Engineer,38,34,198,0.493,3,3,0,Low
E10355,59,High School,R&D,Technician,40,47,158,0.497,1,0,0,Low
E10356,27,Bachelors,Finance,Technician,13,42,161,0.466,5,0,0,Medium
E10357,55,Bachelors,Sales,Engineer,35,32,160,0.681,2,4,0,Medium
E10358,25,Bachelors,Sales,Operator,5,45,191,0.64,4,1,0,Medium
E10359,50,High School,IT,Technician,31,42,160,0.442,3,0,0,Medium
E10360,54,Bachelors,IT,Executive,33,22,147,0.727,3,1,0,Medium
E10361,55,Bachelors,Production,Operator,33,35,172,0.683,3,4,0,Medium
